instruction,input,output
"I have the following ingredients: पानी, दूध, चाय पत्ती, अदरक, शक्कर. Please provide recipes I can make with them.",,"Recipe Name: Adrak Chai Recipe - Ginger Tea Recipe
Cuisine: Indian
Course: Side Dish
Diet: Vegetarian
Ingredients:
- पानी: 2 cups water 1/4 cup milk
- दूध: hot 2 tablespoons tea leaves 1 inch ginger
- चाय पत्ती: grated Sugar
- अदरक: according to taste
Instructions:
To make Ginger Tea, first heat the milk and keep it aside. Now add 2 cups of water, ginger in a saucepan and let it boil. After 2 to 3 minutes add tea leaves and let it boil. Boil for 1 to 2 minutes. After 2 minutes, turn off the gas, cover the saucepan and keep it aside for 1 minute. After 1 minute add milk and mix it. Strain it and pour it into a cup, add sugar according to taste and serve. Serve Ginger Tea with Onion Pakora or any Pakora of your choice for evening snack during rainy days.
"
"I have the following ingredients: Bhindi (Lady Finger/Okra), Mustard oil, Ajwain (Carom seeds), Cinnamon Stick (Dalchini), Bay leaf (tej patta), Onions, Turmeric powder (Haldi), Red Chilli powder, Coriander (Dhania) Powder, Amchur (Dry Mango Powder), Salt. Please provide recipes I can make with them.",,"Recipe Name: Onion Wali Bhindi Recipe | Bhindi Do Pyaz - Okra Onion Stir Fry
Cuisine: Indian
Course: Lunch
Diet: Vegetarian
Ingredients:
- Bhindi (Lady Finger/Okra): 500 grams Bhindi (Lady Finger/Okra)  2 tablespoon Mustard oil
- Mustard oil: or Sunflower oil  1 teaspoon Ajwain (Carom seeds)  2 inch Cinnamon Stick (Dalchini)
- Ajwain (Carom seeds): broken  1 Bay leaf (tej patta)  3 Onions
- Cinnamon Stick (Dalchini): thinly sliced  1 teaspoon Turmeric powder (Haldi)  1 teaspoon Red Chilli powder
- Bay leaf (tej patta): (or more to taste)  2 teaspoons Coriander (Dhania) Powder  2 teaspoons Amchur (Dry Mango Powder) Salt
- Onions: to taste
Instructions:
To begin making Pyaz Wali Bhindi Recipe Bhindi Do Pyaza, first wash bhindi in water. Pat dry with the kitchen towel. To cut okra first remove the stem of the bhindi and then cut into thin strips of 4 pieces. Keep aside until ready to use. Heat the oil in a heavy-bottomed saucepan over medium heat. Add the ajwain seeds and allow it to crackle. Add the cinnamon stick, bay leaf and saute for a few seconds. Add the thinly sliced onions, turn the heat to low and saute the onions until they soften.At this stage add in the chopped lady's finger, sprinkle salt, turmeric powder, red chilli powder, coriander powder and amchur powder.Stir until all the ingredients get well combined. Cover the pan with the lid slightly ajar. Keep the heat on low and let bhindi do pyaza cook until it turns soft and tender. This process will take about 15 minutes on medium heat.Ensure to keep stirring the bhindi do pyaza a few times in between so it gets cooked evenly and towards the end you will notice the onions have slightly caramelised as well.Once done, turn off the heat and check the salt and spices and adjust to taste accordingly.Transfer the Pyaz Wali Bhindi/ Bhindi Do Pyaza to a serving bowl and serve hot.Serve the Pyaz Wali Bhindi/ Bhindi Do Pyaza Recipe along with Parathas and Kadhi Pakora for a delicious lunch or dinner.
"
"I have the following ingredients: हरे मटर, तेल, जीरा, हल्दी पाउडर, लाल मिर्च पाउडर, धनिया पाउडर, कसूरी मेथी, नमक, गरम मसाला पाउडर, प्याज, टमाटर, हरी मिर्च, लहसुन, अदरक, काजू, बादाम का दूध. Please provide recipes I can make with them.",,"Recipe Name: Matar Masala Recipe
Cuisine: Indian
Course: Lunch
Diet: Vegetarian
Ingredients:
- हरे मटर: 1 cup green peas 2 tbsp oil 1 tsp cumin seeds 1/2 tsp turmeric powder 1-1/2 tsp red chili powder 1 tsp coriander powder Kasuri methi
- तेल: pinch of salt
- जीरा: to taste 1/2 tsp garam masala powder For masala paste 2 onions 3 tomatoes 3 green chillies 10 cloves garlic 2 inch ginger For cashew paste 20 cashews 1 to 2 tsp almond milk
- हल्दी पाउडर: or water
Instructions:
To make matar masala recipe, first put peas in a saucepan with water and a pinch of salt and cook till they become soft. Be careful not to overcook the peas. Now heat oil in a pan. Add ginger, garlic and cook for 1 to 2 minutes. Now add onions and cook till they become soft. After onions become soft, add green chilies, tomatoes and cook till tomatoes become soft. Now turn off the gas and let this mixture cool down. After cooling down, put it in a mixer grinder and make a paste. Keep it aside. Till then, put cashew nuts, almond milk/water in a mixer grinder and grind it. Keep this paste aside. Now heat oil in a pan. Add cumin seeds and let them crackle. After cumin seeds crackle, add onion tomato paste and cook for 3 to 4 minutes. Now add turmeric powder, red chili powder, coriander powder, salt and mix well. Let it cook for 3 to 4 minutes. Now add green peas and let it cook for 5 minutes. Add kasuri methi and mix it. After 2 minutes add cashew paste and let it cook on low flame for 3 minutes. Finally add garam masala, mix it and garnish with coriander leaves. Serve matar masala recipe with boondi raita and tawa paratha for lunch.
"
"I have the following ingredients: Rice, Cooked rice, White Urad Dal (Split), Yellow Moong Dal (Split), Arhar dal (Split Toor Dal), Chana dal (Bengal Gram Dal), Salt, Jaggery, Fresh coconut, Cardamom Powder (Elaichi), Water. Please provide recipes I can make with them.",,"Recipe Name: Kandarappam Recipe (Chettinad Sweet Appam)
Cuisine: Chettinad
Course: Lunch
Diet: Vegetarian
Ingredients:
- Rice: 1 cup Rice  1 cup Cooked rice
- Cooked rice: parboiled  1/4 cup White Urad Dal (Split)  2 tablespoon Yellow Moong Dal (Split)  2 tablespoon Arhar dal (Split Toor Dal)  2 tablespoon Chana dal (Bengal Gram Dal)  pinch Salt  1 1/2 - 2 cups Jaggery
- White Urad Dal (Split): grated  1/2 cup Fresh coconut
- Yellow Moong Dal (Split): grated  1/2 teaspoon Cardamom Powder (Elaichi) Water
- Arhar dal (Split Toor Dal): required for grinding
Instructions:
To prepare Kandarappam Recipe (Chettinad Sweet Appam), soak rice and dals separately in water for about 4 hours. Drain the excess water and grind into a fine paste adding required amount of water in a mixer.Add grated Jaggery and coconut and grind into a batter. The batter should have the consistency similar to dosa batter.Now, add cardamom powder and salt to the batter and combine them well.Refrigerate the batter for about 30 minutes. This helps us while pouring the batter into oil directly. This ensures that the appam has proper edges.Meanwhile, heat oil in a Kadai over medium heat.Once the oil is hot, take batter in a small serving spoon and pour the batter directly into the oil. Once the appam comes up, pour hot oil over the top layer of appam using a ladle. This enables fast cooking and helps us to get puffed appam.Fry until the appam becomes light brownish flipping through the half way. Appam cooks fastly and darkens soon. Ensure they are removed from the flame once it turns light brownish.Repeat the same for the remaining batter. Serve Kandarappam (Appam) warmly on festive occasion and celebrate life with authentic Chettinad sweet.
"
"I have the following ingredients: Chana dal (Bengal Gram Dal), Yellow Moong Dal (Split), White Urad Dal (Split), Rice flour, Whole Wheat Flour, Green Chillies, Coriander (Dhania) Leaves, Curry leaves, Ginger, Water, Salt, Oil. Please provide recipes I can make with them.",,"Recipe Name: Andhra Style Multi Lentil Garelu (Vada Recipe)
Cuisine: Andhra
Course: South Indian Breakfast
Diet: Vegetarian
Ingredients:
- Chana dal (Bengal Gram Dal): To Be Soaked For 4-5 Hours 1/2 cup Chana dal (Bengal Gram Dal)  1/2 cup Yellow Moong Dal (Split)  1/2 cup White Urad Dal (Split)  1/2 cup Rice flour Other ingredients 3/4 cup Whole Wheat Flour  8 to 9 Green Chillies  5 to 6 sprig Coriander (Dhania) Leaves  2 sprig Curry leaves  2 inch Ginger Water
- Yellow Moong Dal (Split): as required Salt
- White Urad Dal (Split): to taste Oil
- Rice flour: for deep frying
Instructions:
To prepare Andhra Style Multi Lentil Garelu (Vada Recipe), dry grind the dals coarsely and add rice flour. Mix thoroughly.Add enough water and make a thick vada/garelu batter along with ginger and green chillies in a grinder.Add salt, chopped curry leaves, coriander leaves and wheat flour to the prepared batter. Adjust water only if required. The batter needs to be really thick like dough to shape them.Heat oil in a deep frying pan.Apply a little oil on to a parchment or butter paper, take a golf ball sized dough, pat with your fingers on the greased parchment paper to make disc and make a hole in center.Carefully drop it in hot oil and fry till beautiful golden on both sides, flipping them as required. Repeat to make other garelus.Drain excess oil on a kitchen towel.Serve Andhra Style Multi Lentil Garelu with Chutney.
"
"I have the following ingredients: Sweet Potatoes, Milk Powder, All Purpose Flour (Maida), Sugar, Sooji (Semolina/ Rava), Fennel seeds (Saunf), Cardamom Powder (Elaichi), Sugar, Water, Rose water, Oil, Pistachios. Please provide recipes I can make with them.",,"Recipe Name: Shakarkandi Malpua Recipe - Mishti Aloo Malpua Recipe
Cuisine: North Indian Recipes
Course: Dessert
Diet: Vegetarian
Ingredients:
- Sweet Potatoes: For the batter of malpua: 2 Sweet Potatoes
- Milk Powder: boiled
- All Purpose Flour (Maida): peeled and mashed  1 cup Milk Powder  1/2 cup All Purpose Flour (Maida)  1 tablespoon Sugar  2 tablespoon Sooji (Semolina/ Rava)  1 teaspoon Fennel seeds (Saunf)  1 teaspoon Cardamom Powder (Elaichi) For the sugar syrup: 1 cup Sugar  1 cup Water  1 teaspoon Rose water For frying:Oil
- Sugar: or ghee
- Sooji (Semolina/ Rava): as required for frying For garnishingPistachios
- Fennel seeds (Saunf): chopped
Instructions:
To begin making the Shakarkandi Malpua recipe, first we need to peel and boil the sweet potato. After it gets cold, mash the sweet potato with a masher or with hand. In a big bowl, add mashed potato, milk powder, all purpose flour, sugar, sooji, fennel seeds, cardamom powder and make a smooth thick batter, thicker than normal malpua batter, otherwise it will break while frying.  Add more milk if necessary. Rest it for 20 minutes.Meanwhile make the sugar syrup. In a saucepan, add 1 cup sugar with 1 cup of water and let it boil until sugar dissolved completely. After the sugar dissolves, give it a stir and boil for more 5 minutes.After 5 minutes, add rose water and give it a stir.Heat oil in a frying pan and add 1 ladle full of Shakarkandi Malpua batter giving it a round shape.Let the Shakarkandi Malpua fry one side then flip another side to prevent breaking.After the malpua turns light brown from both the sides, take out and dip in sugar syrup.Dip the Shakarkandi Malpua in sugar syrup for 5 minutes then transfer into another bowl. Make the other malpuas following the same process. Place the Shakarkandi Malpua in a serving bowl and top it with chopped pistachios on top. These malpuas can be stored in freezer for 5 days. Whenever you want to eat, you can heat it and serve. Serve Shakarkandi Malpua Recipe as a dessert on a special ocassion after a soulful meal of Jaipuri Aloo Pyaaz Ki Sabzi, Ajwain Puri, Kale Chane Ki Sabzi, Boondi Raita and Satvik Carrot Sprout Salad.
"
"I have the following ingredients: Whole Wheat Flour, All Purpose Flour (Maida), Sooji (Semolina/ Rava), Caster Sugar, Oil, Salt, Whole Egg, Coconut milk, Oil. Please provide recipes I can make with them.",,"Recipe Name: Goan Style Kulkuls Recipe (Honey glazed wheat Curls Recipe)
Cuisine: Goan Recipes
Course: Snack
Diet: Eggetarian
Ingredients:
- Whole Wheat Flour: 2 cups Whole Wheat Flour  1/4 cup All Purpose Flour (Maida)  1/2 cup Sooji (Semolina/ Rava)  2 tablespoon Caster Sugar  2 tablespoons Oil  1/4 teaspoon Salt  1 Whole Egg  1/2 cup Coconut milk Oil
- All Purpose Flour (Maida): for deep frying
Instructions:
We begin making the Goan Style Kulkuls Recipe (Honey glazed wheat Curls Recipe) by mixing all the ingredients in a small bowl to a soft dough.Rest it for 10 minutes by covering it with a damp cloth. Once it is rested it is time to make those small curls.Take a small piece from the dough, keep a fork next to you and press the dough gently on the back of the fork. Once the dough becomes flat, from one side start slowly rolling to join the other end, making sure the shape of the stripes remain.Once you take the rolled curl out of the fork, gently roll it again by using both your palm making sure the curl stays intact and shape is not destroyed.Heat a kadai with enough oil to fry these curls, once it is heated, add the curls by batches and fry them till it is brown.Once its fried and it cools down, drizzle hone and toss it over. Serve the Goan Style Kulkuls Recipe ( Honey glazed wheat Curls Recipe) as a Party Snack or just as a snack after School.
"
"I have the following ingredients: Coconut Oil, Garlic, Rice, Water, Coconut milk, Coriander (Dhania) Leaves, Salt, Coconut Oil, Garlic, Dry coconut (kopra). Please provide recipes I can make with them.",,"Recipe Name: Thai Coconut Garlic Rice Recipe
Cuisine: Thai
Course: Main Course
Diet: Vegetarian
Ingredients:
- Coconut Oil: 1 teaspoon Coconut Oil  4 cloves Garlic
- Garlic: finely chopped   1 cup Rice
- Rice: washed and soaked in water for 20 minutes   1 cup Water  1 cup Coconut milk  1 sprig Coriander (Dhania) Leaves
- Water: finely chopped   Salt
- Coconut milk: to taste  For the toasted coconut and garlic garnish  1 teaspoon Coconut Oil  4 cloves Garlic
- Coriander (Dhania) Leaves: cut lengthwise  2 tablespoons Dry coconut (kopra)
- Salt: cut into thin strips
Instructions:
To begin making the Thai Coconut Garlic Rice Recipe, in a pressure cooker heat the coconut oil on medium-low flame, to this hot oil add the garlic and saute for about 40 seconds or until the garlic begins to change colour to a light brown. Once the garlic is slightly brown reduce the heat, add in the washed and drained rice, 1 cup of water, 1 cup of coconut milk, some salt to taste and close the pressure cooker. Pressure cook the Thai Coconut Garlic Rice for 2 whistles and turn off the flame. Allow the pressure to release naturally, then transfer the Thai Coconut Garlic Rice to a serving platter and set aside.
"
"I have the following ingredients: Sweet corn, Red Yellow and Green Bell Peppers (Capsicum), Onions, Tomato, Green Chilli, Ginger, Curd (Dahi / Yogurt), Cashew nuts, Water, Oil, Salt. Please provide recipes I can make with them.",,"Recipe Name: Sweet Corn And Capsicum Gravy Recipe 
Cuisine: North Indian Recipes
Course: Side Dish
Diet: Vegetarian
Ingredients:
- Sweet corn: 1 cup Sweet corn  1 Red Yellow and Green Bell Peppers (Capsicum)  2 Onions
- Red Yellow and Green Bell Peppers (Capsicum): medium sized  1 Tomato  1 Green Chilli  1 teaspoon Ginger
- Onions: paste  1/2 cup Curd (Dahi / Yogurt)  2 tablespoon Cashew nuts  1 cup Water  4 teaspoon Oil Salt
- Tomato: to taste
Instructions:
To begin making the Sweet Corn And Capsicum Curry Recipe, first soak the cashews in warm water.Heat a kadai with 2 teaspoons oil, add onion and ginger and let it cook till the onion turns soft. Once the onions turns soft, add the tomatoes, and cook till the tomatoes turn mushy and soft. Turn off the flame and let it cool.Once it cools down, add the tomato onion mixture, cashews, curd,1 cup water in a mixer grinder and blend it to fine paste.Reheat kadai with oil, add the cumin seeds and stir for a minute. Add the cashew, onion and tomato mixture and give it a mix.Stir continuously for 5 minutes. Add the corn and capsicum to the mixture. Add salt and stir the mixture and turn off the flame, keep it covered for a minute or two to settle it down.Serve Sweet Corn And Capsicum Gravy Recipe with Cashews and it is ready to be served.Serve Sweet Corn and Capsicum Gravy Recipe along with hot Phulkas or Tawa Parathas and Bhindi Raita Recipe (Okra Salad) for a weeknight dinner.
"
"I have the following ingredients: आलू, पुदीना, हरा धनिया, हरी मिर्च, अमचूर पाउडर, लाल मिर्च पाउडर, हल्दी पाउडर, नमक, जीरा, घी. Please provide recipes I can make with them.",,"Recipe Name: Khatte Pudina Aloo Recipe - Sour Mint Potatoes Recipe
Cuisine: Indian
Course: Lunch
Diet: Vegetarian
Ingredients:
- आलू: 5 potatoes
- पुदीना: boiled 1/4 cup mint 1/2 cup coriander leaves 2 green chillies 1-1/2 teaspoon dried mango powder 1 teaspoon red chilli powder 1/3 teaspoon turmeric powder Salt
- हरा धनिया: to taste 1 teaspoon cumin seeds Ghee
- हरी मिर्च: or oil
- अमचूर पाउडर: as needed
Instructions:
To make Khatte Pudina Aloo Recipe, first wash the potatoes thoroughly and add water as per requirement in a pressure cooker. Close the cooker and cook till 2 whistles. Let the pressure release automatically. Open the cooker and take out the potatoes and keep them aside. After they cool down, peel them and chop them. Keep them aside. In a blender, grind coriander leaves, mint leaves and green chillies. Keep this paste aside. Heat ghee in a pan. Add cumin seeds and let them crackle. Now add mint coriander paste and cook for 3 to 4 minutes. Now add red chilli powder, turmeric powder, dry mango powder, salt and cook for 1 minute. After 1 minute add potatoes and mix well. Add some water and let it cook for 3 to 4 minutes. Turn off the gas and serve. Serve Khatte Pudina Aloo Recipe with Gujarati Kadhi, Aamras and Phulkas for lunch.
"
